Automobilio pavadinimas;Nuoroda;Kaina USD;Kaina UAH;Automobilis yra mieste
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1826879.html;   42 618 $   ;1 277 713 грн;Днепр (Днепропетровск)
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1832955.html;   62 174 $   ;1 652 520 грн;Чубинское
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1832956.html;   53 652 $   ;1 426 031 грн;Чубинское
Jaguar F-Type 2020;https://auto.ria.com/newauto/auto-jaguar-f-type-1837959.html;   98 636 $   ;2 621 647 грн;Чубинское
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1821762.html;   41 780 $   ;1 110 470 грн;Чубинское
Jaguar XF 2020;https://auto.ria.com/newauto/auto-jaguar-xf-1838686.html;   51 911 $   ;1 392 564 грн;Киев
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1838661.html;   78 312 $   ;2 100 823 грн;Киев
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1835408.html;   88 475 $   ;2 373 291 грн;Львов
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1838222.html;   50 125 $   ;1 344 322 грн;Киев
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1826682.html;   49 226 $   ;1 245 440 грн;Одесса
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1837674.html;   40 815 $   ;1 094 637 грн;Киев
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1838715.html;   77 100 $   ;2 311 517 грн;Днепр (Днепропетровск)
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1832639.html;   88 278 $   ;2 346 344 грн;Чубинское
Jaguar F-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-f-pace-1834563.html;   60 348 $   ;1 526 840 грн;Одесса
Jaguar XE 2020;https://auto.ria.com/newauto/auto-jaguar-xe-1838775.html;   49 243 $   ;1 308 831 грн;Чубинское
Jaguar F-Type 2019;https://auto.ria.com/newauto/auto-jaguar-f-type-1824183.html;   84 536 $   ;2 246 900 грн;Чубинское
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1821763.html;   82 678 $   ;2 197 500 грн;Чубинское
Jaguar XF 2019;https://auto.ria.com/newauto/auto-jaguar-xf-1832636.html;   51 701 $   ;1 374 170 грн;Чубинское
Jaguar F-Type 2019;https://auto.ria.com/newauto/auto-jaguar-f-type-1817613.html;   84 536 $   ;2 267 789 грн;Киев
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1827913.html;   62 500 $   ;1 676 638 грн;Киев
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1832857.html;   70 331 $   ;1 886 719 грн;Киев
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1838200.html;   48 717 $   ;1 232 560 грн;Одесса
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1835669.html;   71 526 $   ;1 809 640 грн;Одесса
Jaguar F-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-f-pace-1826235.html;   49 802 $   ;1 260 000 грн;Одесса
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1829285.html;   47 942 $   ;1 274 257 грн;Чубинское
Jaguar E-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-e-pace-1829277.html;   53 211 $   ;1 414 311 грн;Чубинское
Jaguar E-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-e-pace-1835093.html;   48 526 $   ;1 289 786 грн;Чубинское
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1834756.html;   79 304 $   ;2 107 842 грн;Чубинское
Jaguar I-Pace 2019;https://auto.ria.com/newauto/auto-jaguar-i-pace-1835098.html;   77 100 $   ;2 049 242 грн;Чубинское
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1833500.html;   65 800 $   ;1 765 164 грн;Киев
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718507.html;   62 213 $   ;1 668 831 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718685.html;   54 071 $   ;1 450 410 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641676.html;   57 937 $   ;1 554 138 грн;Харьков
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1833504.html;   62 800 $   ;1 684 685 грн;Киев
Jaguar I-Pace 2020;https://auto.ria.com/newauto/auto-jaguar-i-pace-1740921.html;   83 670 $   ;2 244 545 грн;Киев
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718468.html;   44 204 $   ;1 185 756 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718464.html;   48 038 $   ;1 288 595 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718472.html;   47 618 $   ;1 277 333 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601710.html;   55 128 $   ;1 478 611 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718681.html;   51 088 $   ;1 370 392 грн;Харьков
Jaguar XF 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1719706.html;   63 329 $   ;1 698 764 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718501.html;   56 469 $   ;1 514 581 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718503.html;   65 258 $   ;1 750 314 грн;Харьков
Jaguar E-Pace 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718471.html;   59 173 $   ;1 587 114 грн;Харьков
